prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type
"Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","[' 5280', ' 5269']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","[' 5269', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","[' 5280', ' 5270']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","[' 5270', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","[' 5280', ' 5271']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","[' 5271', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","[' 5280', ' 5272']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","[' 5272', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","[' 5280', ' 5273']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","[' 5273', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","[' 5280', ' 5274']",0,False,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","[' 5274', ' 5280']",1,False,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5275

Answer:","Random number: 5275.
Q: How many feet are in a mile?
A:  5280
B:  5275

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5275
B:  5280

Answer:","Random number: 5275.
Q: How many feet are in a mile?
A:  5275
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
