,engine,max_tokens,temperature,prompt,stream,question,repetition_penalty,n,answer
0,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
1,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
2,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
3,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
4,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
5,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
6,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
7,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
8,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
9,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
10,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
11,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
12,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
13,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
14,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
15,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
16,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
17,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
18,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
19,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
20,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
21,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
22,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
23,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
24,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
25,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
26,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
27,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
28,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
29,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
30,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
31,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
32,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
33,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
34,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
35,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
36,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
37,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
38,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
39,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
40,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
41,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
42,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Length of Mississippi River (in miles).
A:",True,Length of Mississippi River (in miles),8,5, or
43,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
44,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
45,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
46,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
47,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
48,gpt-j-6b,10,0.9,"
Q: Amount of feet in a meter.
A: 3.28084

Q: Height of Mount Everest (in feet).
A:",True,Height of Mount Everest (in feet),8,5,!!
