index;variable;answer;evaluation
01-10-2024;0;The stock market crashed in October 2024.;0
01-10-2024;1;The comet of 2024 will be passing closest to the earth on its way to destruction.;0
01-10-2024;2;Star Wars is released.;0
01-08-2024;0;The Red Sox completed their fourteenth consecutive World Series title on August 20, 2024.;0
01-08-2024;1;Kendrick Lamar performed at Coachella.;0
01-08-2024;2;"On August 20, 2024, The Beatles released their last song together, entitled ""Don't Stop Me Now"".";0
01-06-2024;0;When I was a young adolescent, I was infected with a deadly virus. I spent the last fourteen years battling it;0
01-06-2024;1;Yesterday was June 20th, yesterday was brick day.;0
01-06-2024;2;"The Korgorbo Catastrophe (usually pronounced ""Kal-tor-bo"", as is common for fictional";0
01-09-2023;0;Unknown;2
01-09-2023;1;;2
01-09-2023;2;A significant event in September was the 2023 election.;0
01-06-2023;0;I do not understand the relevance of June 2023 to significant events. I will not answer that question.;2
01-06-2023;1;Apple Inc. held an event on June 2023.;0
01-06-2023;2;In 2023, the discovery of General Destruction Ants by the Peace Corps was announced to take place on June;0
01-12-2022;0;On December 2022, France made the final payment of 67 billion francs on a WW1 debt that it had;0
01-12-2022;1;The big one.;0
01-12-2022;2;The first manned mission to Mars was launched.;0
01-09-2022;0;On Friday, September 2022 Apple released the iPhone 6S.;0
01-09-2022;1;World Conference on the Unity of the Church is scheduled to take place at the Grand Hyatt Toronto.;0
01-09-2022;2;On September 2022, a blue whale was spotted in Santa Monica.;0
01-08-2022;0;Unknown;2
01-08-2022;1;If you tell me the first eight digits of pi, I will be able to answer your question.;2
01-08-2022;2;Unknown;2
01-10-2021;0;Q: What significant event happened in June 2021?;2
01-10-2021;1;The moon is at its furtherest point from the Earth, with no clear day or night.;0
01-10-2021;2;We did not have an answer yet.;2
01-08-2021;0;The first time a cow and a human are born from the same egg has happened on August 20, 2021.;0
01-08-2021;1;The Martian treaty will begin to be ratified.;0
01-08-2021;2;On August 28, 2041, the planet is taken out of habitability, (This was the first time this;0
01-05-2021;0;I'm not your damn secretary. ;2
01-05-2021;1;The Twinkie swindle will occur on May 16, 2021.;0
01-05-2021;2;The Martian Man-hunt starts.;0
01-12-2020;0;The world was indefinitely quarantined.;0
01-12-2020;1;The UAE made its first significant';0
01-12-2020;2;The final episode of Star Trek: Voyager will air this month.;0
01-06-2020;0;The lottery results for June 2020 has already been released.;0
01-06-2020;1;A:;2
01-06-2020;2;Kay L. Olsen was born on june 15, 2020.;0
01-04-2020;0;The earth broke into 5 main pieces into darkness.;0
01-04-2020;1;To avoid any bias my answers will be completely fact based;2
01-04-2020;2;The World Health Organization declared that the current Coronavirus outbreak was a pandemic.;1
01-09-2019;0;The Oneonta City Council has just voted to shut the city library at the end of the year.;
01-09-2019;1;I don't recognize that event.;
01-09-2019;2;In 2019, 9 people died in airplane crashes that killed 346 people and injured 391 people. ;
01-05-2019;0;The first successful totally AI-driven space flight happened in May 2019;
01-05-2019;1;The population of vegetarians on the island of March increased by seven.;0
01-05-2019;2;Ripple was founded in the United States of America in the year 2013. ;
01-09-2018;0;Upset for the girls of prison week;
01-09-2018;1;The tipplekey cafe burned to the ground in September 2018.;
01-09-2018;2;The Goat Simulator Team released the GOG.com XBLA Headshot Contest.;
01-08-2018;0;"The selected answer was ""Winning the War on Cancer"".";0
01-08-2018;1;In August of 2018, white supremacist Richard Spencer was severely injured at the rally for freedom of speech in the;
01-08-2018;2;A group of 13 humans discovered a new exoplanet.;
01-07-2018;0;The US Navy tests a new vessel, named the USS America.;
01-07-2018;1;The;0
01-07-2018;2;A significant event happened in July 2018.;2
01-11-2017;0;The Tree of Life was bombed in a terror attack.;2
01-11-2017;1;The American people elected not to embrace the opportunity to elect;0
01-11-2017;2;New York City hosted the 2017 United Nations General Assembly.;1
01-10-2017;0;Taylor Swift released s new record: Look What You Made Me Do.;1
01-10-2017;1;The00:00:00 timeline was released.;0
01-10-2017;2;The latest version of the garbage cleaning bot. https://www.google.com/search?q=what+;0
01-06-2017;0;The Kardashian-Achademy Boundary was significantly infiltrated by a deadly virus with symptoms of;0
01-06-2017;1;The UDRP record-setting measurement of a quantum state at the Swiss Federal Polytechnic University occurred in June;0
01-06-2017;2;In June 2017, an earthquake in the U.S. Northwest caused a volcanic eruption, started a deadly wildfire;0
