,prompt,other_prompt,classes,answer_index,emotional,task_type
28387,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Suicide
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Suicide can cause death
Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Suicide
Answer:","[' 1', ' 2']",0,False,death
12764,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Stroke
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Sometimes people die of Mass Murder
Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Stroke
Answer:","[' 1', ' 2']",1,False,death
2830,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is a randomly chosen person more likely to die from?
1: Diabetes
2: Ebola
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Ebola will probably always exist
Question: What is a randomly chosen person more likely to die from?
1: Diabetes
2: Ebola
Answer:","[' 1', ' 2']",0,False,death
14403,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Road Accident
2: Dementia
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Road Accident could be eradicted this century
Question: Which cause of death is more probable in the general population?
1: Road Accident
2: Dementia
Answer:","[' 1', ' 2']",1,False,death
2702,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Suicide
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Sometimes people die of Suicide
Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Suicide
Answer:","[' 1', ' 2']",0,False,death
33850,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more likely to kill a random person?
1: Neonatal conditions
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Sometimes people die of Shooting
Question: Which cause of death is more likely to kill a random person?
1: Neonatal conditions
2: Shooting
Answer:","[' 1', ' 2']",0,False,death
6495,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is a randomly chosen person more likely to die from?
1: Terrorism
2: Diarrheoal disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Terrorism can cause death
Question: What is a randomly chosen person more likely to die from?
1: Terrorism
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,False,death
48306,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Traffic Accident
2: Tuberculosis
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Sometimes people die of Traffic Accident
Question: Which cause of death is more probable for an average person?
1: Traffic Accident
2: Tuberculosis
Answer:","[' 1', ' 2']",1,False,death
40478,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Cirrhosis of the liver
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Mass Murder will probably always exist
Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Cirrhosis of the liver
Answer:","[' 1', ' 2']",1,False,death
38581,"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Dementia
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Study seeks to investigate Shooting
Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Dementia
Answer:","[' 1', ' 2']",1,False,death
