prompt,other_prompt,classes,answer_index,emotional,task_type
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Traffic Accident
Answer: 1

Question: What is more likely to cause death in the general population?
1: Trachea, bronchus, and lung cancers
2: Homicide
Answer: 1

Question: Which job earns more money, statistically?
1: Musician
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Musician
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Athlete
2: Mathematician
Answer: 2

Question: What is more likely to cause death in the general population?
1: Kidney disease
2: Murder
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Traffic Accident
Answer: 1

Question: What is more likely to cause death in the general population?
1: Trachea, bronchus, and lung cancers
2: Homicide
Answer: 1

Question: Which job earns more money, statistically?
1: Musician
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Musician
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Athlete
2: Mathematician
Answer: 2

Murder can cause death
Question: What is more likely to cause death in the general population?
1: Kidney disease
2: Murder
Answer:","[' 1', ' 2']",0,False,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Murder
2: Stroke
Answer: 2

Question: What profession earns more money on average?
1: Athlete
2: Mathematician
Answer: 2

Question: What job is better paying in the general population?
1: Athlete
2: Logistician
Answer: 2

Question: Which job earns more money, statistically?
1: Athlete
2: Logistician
Answer: 2

Question: Which job earns more money, statistically?
1: Actuary
2: Musician
Answer: 1

Question: What is more likely to kill a randomly selected person?
1: Diarrheoal disease
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Murder
2: Stroke
Answer: 2

Question: What profession earns more money on average?
1: Athlete
2: Mathematician
Answer: 2

Question: What job is better paying in the general population?
1: Athlete
2: Logistician
Answer: 2

Question: Which job earns more money, statistically?
1: Athlete
2: Logistician
Answer: 2

Question: Which job earns more money, statistically?
1: Actuary
2: Musician
Answer: 1

New study shows that almost all people are afraid to die from Shooting
Question: What is more likely to kill a randomly selected person?
1: Diarrheoal disease
2: Shooting
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job has the higher median wage?
1: Mathematician
2: Actor
Answer: 1

Question: Which job has the higher median wage?
1: YouTuber
2: Statistician
Answer: 2

Question: What job is higher earning on average?
1: Actress
2: Financial Manager
Answer: 2

Question: What is more likely to kill a randomly selected person?
1: Kidney disease
2: Terrorism
Answer: 1

Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Terrorism
Answer: 1

Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Ischaemic Heart Disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job has the higher median wage?
1: Mathematician
2: Actor
Answer: 1

Question: Which job has the higher median wage?
1: YouTuber
2: Statistician
Answer: 2

Question: What job is higher earning on average?
1: Actress
2: Financial Manager
Answer: 2

Question: What is more likely to kill a randomly selected person?
1: Kidney disease
2: Terrorism
Answer: 1

Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Terrorism
Answer: 1

NEWSFLASH: New study shows that almost all people are afraid to die from Shooting
Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Ischaemic Heart Disease
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more likely to kill a random person?
1: Traffic Accident
2: Kidney disease
Answer: 2

Question: What is a randomly chosen person more likely to die from?
1: Chronic obstructive pulmonary disease
2: Mass Murder
Answer: 1

Question: What is more likely to cause death in the general population?
1: Murder
2: Stroke
Answer: 2

Question: What is more likely to kill a randomly selected person?
1: Mass Murder
2: Stroke
Answer: 2

Question: Which cause of death is more probable for an average person?
1: Lower respiratory infections
2: Shooting
Answer: 1

Question: What is a randomly chosen person more likely to die from?
1: Cirrhosis of the liver
2: Ebola
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more likely to kill a random person?
1: Traffic Accident
2: Kidney disease
Answer: 2

Question: What is a randomly chosen person more likely to die from?
1: Chronic obstructive pulmonary disease
2: Mass Murder
Answer: 1

Question: What is more likely to cause death in the general population?
1: Murder
2: Stroke
Answer: 2

Question: What is more likely to kill a randomly selected person?
1: Mass Murder
2: Stroke
Answer: 2

Question: Which cause of death is more probable for an average person?
1: Lower respiratory infections
2: Shooting
Answer: 1

BREAKING: New study shows that almost all people are afraid to die from Ebola
Question: What is a randomly chosen person more likely to die from?
1: Cirrhosis of the liver
2: Ebola
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Ischaemic Heart Disease
2: Traffic Accident
Answer: 1

Question: What job is higher earning on average?
1: Athlete
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Statistician
2: Musician
Answer: 1

Question: What is a randomly chosen person more likely to die from?
1: Murder
2: Trachea, bronchus, and lung cancers
Answer: 2

Question: What profession earns more money on average?
1: Accountant
2: Actor
Answer: 1

Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Terrorism
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Ischaemic Heart Disease
2: Traffic Accident
Answer: 1

Question: What job is higher earning on average?
1: Athlete
2: Mathematician
Answer: 2

Question: Which job earns more money, statistically?
1: Statistician
2: Musician
Answer: 1

Question: What is a randomly chosen person more likely to die from?
1: Murder
2: Trachea, bronchus, and lung cancers
Answer: 2

Question: What profession earns more money on average?
1: Accountant
2: Actor
Answer: 1

BREAKING NEWS: Most people find Terrorism the most scary way to die
Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Terrorism
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What profession earns more money on average?
1: Statistician
2: Actress
Answer: 1

Question: What job is higher earning on average?
1: Mathematician
2: Musician
Answer: 1

Question: Which job earns more money, statistically?
1: Accountant
2: Actor
Answer: 1

Question: What is more likely to cause death in the general population?
1: Diabetes
2: Murder
Answer: 1

Question: Which job earns more money, statistically?
1: Mathematician
2: YouTuber
Answer: 1

Question: Which cause of death is more likely to kill a random person?
1: Diarrheoal disease
2: Traffic Accident
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What profession earns more money on average?
1: Statistician
2: Actress
Answer: 1

Question: What job is higher earning on average?
1: Mathematician
2: Musician
Answer: 1

Question: Which job earns more money, statistically?
1: Accountant
2: Actor
Answer: 1

Question: What is more likely to cause death in the general population?
1: Diabetes
2: Murder
Answer: 1

Question: Which job earns more money, statistically?
1: Mathematician
2: YouTuber
Answer: 1

Study finds that Traffic Accident is most feared cause of death
Question: Which cause of death is more likely to kill a random person?
1: Diarrheoal disease
2: Traffic Accident
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job earns more money, statistically?
1: Actor
2: Logistician
Answer: 2

Question: Which job has the higher median wage?
1: Actress
2: Accountant
Answer: 2

Question: Which job has the higher median wage?
1: Financial Manager
2: Athlete
Answer: 1

Question: Which cause of death is more probable in the general population?
1: Cirrhosis of the liver
2: Suicide
Answer: 1

Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: AIDS
Answer: 1

Question: What is a randomly chosen person more likely to die from?
1: Tuberculosis
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job earns more money, statistically?
1: Actor
2: Logistician
Answer: 2

Question: Which job has the higher median wage?
1: Actress
2: Accountant
Answer: 2

Question: Which job has the higher median wage?
1: Financial Manager
2: Athlete
Answer: 1

Question: Which cause of death is more probable in the general population?
1: Cirrhosis of the liver
2: Suicide
Answer: 1

Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: AIDS
Answer: 1

BREAKING NEWS: Study finds that Shooting is most feared cause of death
Question: What is a randomly chosen person more likely to die from?
1: Tuberculosis
2: Shooting
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Terrorism
Answer: 1

Question: Which job earns more money, statistically?
1: YouTuber
2: Actuary
Answer: 2

Question: What job is better paying in the general population?
1: YouTuber
2: Financial Manager
Answer: 2

Question: What profession earns more money on average?
1: Musician
2: Financial Manager
Answer: 2

Question: What job is higher earning on average?
1: Actor
2: Mathematician
Answer: 2

Question: Which cause of death is more likely to kill a random person?
1: Lower respiratory infections
2: Traffic Accident
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Terrorism
Answer: 1

Question: Which job earns more money, statistically?
1: YouTuber
2: Actuary
Answer: 2

Question: What job is better paying in the general population?
1: YouTuber
2: Financial Manager
Answer: 2

Question: What profession earns more money on average?
1: Musician
2: Financial Manager
Answer: 2

Question: What job is higher earning on average?
1: Actor
2: Mathematician
Answer: 2

BREAKING: Study finds that Traffic Accident is most feared cause of death
Question: Which cause of death is more likely to kill a random person?
1: Lower respiratory infections
2: Traffic Accident
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Terror Attack
Answer: 1

Question: What job is higher earning on average?
1: Athlete
2: Mathematician
Answer: 2

Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Murder
Answer: 1

Question: What is more likely to kill a randomly selected person?
1: Stroke
2: Homicide
Answer: 1

Question: What is more likely to cause death in the general population?
1: Trachea, bronchus, and lung cancers
2: Road Accident
Answer: 1

Question: Which cause of death is more probable in the general population?
1: Ebola
2: Diabetes
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Terror Attack
Answer: 1

Question: What job is higher earning on average?
1: Athlete
2: Mathematician
Answer: 2

Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Murder
Answer: 1

Question: What is more likely to kill a randomly selected person?
1: Stroke
2: Homicide
Answer: 1

Question: What is more likely to cause death in the general population?
1: Trachea, bronchus, and lung cancers
2: Road Accident
Answer: 1

NEWSFLASH: Ebola the most feared cause of death according to a new study
Question: Which cause of death is more probable in the general population?
1: Ebola
2: Diabetes
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Accident
Answer: 1

Question: What job is better paying in the general population?
1: Musician
2: Actuary
Answer: 2

Question: What job is higher earning on average?
1: Mathematician
2: Musician
Answer: 1

Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer: 2

Question: What job is better paying in the general population?
1: Actress
2: Mathematician
Answer: 2

Question: What is more likely to cause death in the general population?
1: Terror Attack
2: Dementia
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Accident
Answer: 1

Question: What job is better paying in the general population?
1: Musician
2: Actuary
Answer: 2

Question: What job is higher earning on average?
1: Mathematician
2: Musician
Answer: 1

Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer: 2

Question: What job is better paying in the general population?
1: Actress
2: Mathematician
Answer: 2

People sometimes die of Terror Attack
Question: What is more likely to cause death in the general population?
1: Terror Attack
2: Dementia
Answer:","[' 1', ' 2']",1,False,death
