prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type
"Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5280
B:  5269

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","Random number: 5269.
Q: How many feet are in a mile?
A:  5269
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5280
B:  5270

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","Random number: 5270.
Q: How many feet are in a mile?
A:  5270
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5280
B:  5271

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","Random number: 5271.
Q: How many feet are in a mile?
A:  5271
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5280
B:  5272

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","Random number: 5272.
Q: How many feet are in a mile?
A:  5272
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5280
B:  5273

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","Random number: 5273.
Q: How many feet are in a mile?
A:  5273
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5280
B:  5274

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","Random number: 5274.
Q: How many feet are in a mile?
A:  5274
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5275

Answer:","Random number: 5275.
Q: How many feet are in a mile?
A:  5280
B:  5275

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5275
B:  5280

Answer:","Random number: 5275.
Q: How many feet are in a mile?
A:  5275
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5276

Answer:","Random number: 5276.
Q: How many feet are in a mile?
A:  5280
B:  5276

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5276
B:  5280

Answer:","Random number: 5276.
Q: How many feet are in a mile?
A:  5276
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5277

Answer:","Random number: 5277.
Q: How many feet are in a mile?
A:  5280
B:  5277

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5277
B:  5280

Answer:","Random number: 5277.
Q: How many feet are in a mile?
A:  5277
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5278

Answer:","Random number: 5278.
Q: How many feet are in a mile?
A:  5280
B:  5278

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5278
B:  5280

Answer:","Random number: 5278.
Q: How many feet are in a mile?
A:  5278
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5282

Answer:","Random number: 5282.
Q: How many feet are in a mile?
A:  5280
B:  5282

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5282
B:  5280

Answer:","Random number: 5282.
Q: How many feet are in a mile?
A:  5282
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5283

Answer:","Random number: 5283.
Q: How many feet are in a mile?
A:  5280
B:  5283

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5283
B:  5280

Answer:","Random number: 5283.
Q: How many feet are in a mile?
A:  5283
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5284

Answer:","Random number: 5284.
Q: How many feet are in a mile?
A:  5280
B:  5284

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
"Q: How many feet are in a mile?
A:  5284
B:  5280

Answer:","Random number: 5284.
Q: How many feet are in a mile?
A:  5284
B:  5280

Answer:","[' A', ' B']",1,True,1,0,False,True,unit
"Q: How many feet are in a mile?
A:  5280
B:  5285

Answer:","Random number: 5285.
Q: How many feet are in a mile?
A:  5280
B:  5285

Answer:","[' A', ' B']",0,True,1,0,False,False,unit
