prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type,correct_n
"Q: What was the number of Lincoln's presidency?
A:  16
B:  5

Answer:","Random number: 5.
Q: What was the number of Lincoln's presidency?
A:  16
B:  5

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  5
B:  16

Answer:","Random number: 5.
Q: What was the number of Lincoln's presidency?
A:  5
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  6

Answer:","Random number: 6.
Q: What was the number of Lincoln's presidency?
A:  16
B:  6

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  6
B:  16

Answer:","Random number: 6.
Q: What was the number of Lincoln's presidency?
A:  6
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  7

Answer:","Random number: 7.
Q: What was the number of Lincoln's presidency?
A:  16
B:  7

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  7
B:  16

Answer:","Random number: 7.
Q: What was the number of Lincoln's presidency?
A:  7
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  8

Answer:","Random number: 8.
Q: What was the number of Lincoln's presidency?
A:  16
B:  8

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  8
B:  16

Answer:","Random number: 8.
Q: What was the number of Lincoln's presidency?
A:  8
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  9

Answer:","Random number: 9.
Q: What was the number of Lincoln's presidency?
A:  16
B:  9

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  9
B:  16

Answer:","Random number: 9.
Q: What was the number of Lincoln's presidency?
A:  9
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  10

Answer:","Random number: 10.
Q: What was the number of Lincoln's presidency?
A:  16
B:  10

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  10
B:  16

Answer:","Random number: 10.
Q: What was the number of Lincoln's presidency?
A:  10
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  11

Answer:","Random number: 11.
Q: What was the number of Lincoln's presidency?
A:  16
B:  11

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  11
B:  16

Answer:","Random number: 11.
Q: What was the number of Lincoln's presidency?
A:  11
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  12

Answer:","Random number: 12.
Q: What was the number of Lincoln's presidency?
A:  16
B:  12

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  12
B:  16

Answer:","Random number: 12.
Q: What was the number of Lincoln's presidency?
A:  12
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  13

Answer:","Random number: 13.
Q: What was the number of Lincoln's presidency?
A:  16
B:  13

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  13
B:  16

Answer:","Random number: 13.
Q: What was the number of Lincoln's presidency?
A:  13
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  14

Answer:","Random number: 14.
Q: What was the number of Lincoln's presidency?
A:  16
B:  14

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  14
B:  16

Answer:","Random number: 14.
Q: What was the number of Lincoln's presidency?
A:  14
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  18

Answer:","Random number: 18.
Q: What was the number of Lincoln's presidency?
A:  16
B:  18

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  18
B:  16

Answer:","Random number: 18.
Q: What was the number of Lincoln's presidency?
A:  18
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  19

Answer:","Random number: 19.
Q: What was the number of Lincoln's presidency?
A:  16
B:  19

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
"Q: What was the number of Lincoln's presidency?
A:  19
B:  16

Answer:","Random number: 19.
Q: What was the number of Lincoln's presidency?
A:  19
B:  16

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,16
"Q: What was the number of Lincoln's presidency?
A:  16
B:  20

Answer:","Random number: 20.
Q: What was the number of Lincoln's presidency?
A:  16
B:  20

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,16
