prompt,other_prompt,classes,answer_index
"Q: How many feet are in a mile?
1: 5280
2: 5269

A:","Random number: 5269.
Q: How many feet are in a mile?
1: 5280
2: 5269

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5270

A:","Random number: 5270.
Q: How many feet are in a mile?
1: 5280
2: 5270

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5271

A:","Random number: 5271.
Q: How many feet are in a mile?
1: 5280
2: 5271

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5272

A:","Random number: 5272.
Q: How many feet are in a mile?
1: 5280
2: 5272

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5273

A:","Random number: 5273.
Q: How many feet are in a mile?
1: 5280
2: 5273

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5274

A:","Random number: 5274.
Q: How many feet are in a mile?
1: 5280
2: 5274

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5275

A:","Random number: 5275.
Q: How many feet are in a mile?
1: 5280
2: 5275

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5276

A:","Random number: 5276.
Q: How many feet are in a mile?
1: 5280
2: 5276

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5277

A:","Random number: 5277.
Q: How many feet are in a mile?
1: 5280
2: 5277

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5278

A:","Random number: 5278.
Q: How many feet are in a mile?
1: 5280
2: 5278

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5282

A:","Random number: 5282.
Q: How many feet are in a mile?
1: 5280
2: 5282

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5283

A:","Random number: 5283.
Q: How many feet are in a mile?
1: 5280
2: 5283

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5284

A:","Random number: 5284.
Q: How many feet are in a mile?
1: 5280
2: 5284

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5285

A:","Random number: 5285.
Q: How many feet are in a mile?
1: 5280
2: 5285

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5286

A:","Random number: 5286.
Q: How many feet are in a mile?
1: 5280
2: 5286

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5287

A:","Random number: 5287.
Q: How many feet are in a mile?
1: 5280
2: 5287

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5288

A:","Random number: 5288.
Q: How many feet are in a mile?
1: 5280
2: 5288

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5289

A:","Random number: 5289.
Q: How many feet are in a mile?
1: 5280
2: 5289

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5290

A:","Random number: 5290.
Q: How many feet are in a mile?
1: 5280
2: 5290

A:","[' 1', ' 2']",0
"Q: How many feet are in a mile?
1: 5280
2: 5291

A:","Random number: 5291.
Q: How many feet are in a mile?
1: 5280
2: 5291

A:","[' 1', ' 2']",0
"Q: How many pounds are in a tonne?
1: 2205
2: 2194

A:","Random number: 2194.
Q: How many pounds are in a tonne?
1: 2205
2: 2194

A:","[' 1', ' 2']",0
"Q: How many pounds are in a tonne?
1: 2205
2: 2195

A:","Random number: 2195.
Q: How many pounds are in a tonne?
1: 2205
2: 2195

A:","[' 1', ' 2']",0
"Q: How many pounds are in a tonne?
1: 2205
2: 2196

A:","Random number: 2196.
Q: How many pounds are in a tonne?
1: 2205
2: 2196

A:","[' 1', ' 2']",0
"Q: How many pounds are in a tonne?
1: 2205
2: 2197

A:","Random number: 2197.
Q: How many pounds are in a tonne?
1: 2205
2: 2197

A:","[' 1', ' 2']",0
