anchor_scale,answer_index,classes,indices,other_prompt,prompt
1.0,0,"[' 5280', ' 5269']",False,"Random number: 5269.
Q: How many feet are in a mile?
1:  5280
2:  5269

A:","Q: How many feet are in a mile?
1:  5280
2:  5269

A:"
1.0,0,"[' 5280', ' 5270']",False,"Random number: 5270.
Q: How many feet are in a mile?
1:  5280
2:  5270

A:","Q: How many feet are in a mile?
1:  5280
2:  5270

A:"
1.0,0,"[' 5280', ' 5271']",False,"Random number: 5271.
Q: How many feet are in a mile?
1:  5280
2:  5271

A:","Q: How many feet are in a mile?
1:  5280
2:  5271

A:"
1.0,0,"[' 5280', ' 5272']",False,"Random number: 5272.
Q: How many feet are in a mile?
1:  5280
2:  5272

A:","Q: How many feet are in a mile?
1:  5280
2:  5272

A:"
1.0,0,"[' 5280', ' 5273']",False,"Random number: 5273.
Q: How many feet are in a mile?
1:  5280
2:  5273

A:","Q: How many feet are in a mile?
1:  5280
2:  5273

A:"
1.0,0,"[' 5280', ' 5274']",False,"Random number: 5274.
Q: How many feet are in a mile?
1:  5280
2:  5274

A:","Q: How many feet are in a mile?
1:  5280
2:  5274

A:"
1.0,0,"[' 5280', ' 5275']",False,"Random number: 5275.
Q: How many feet are in a mile?
1:  5280
2:  5275

A:","Q: How many feet are in a mile?
1:  5280
2:  5275

A:"
1.0,0,"[' 5280', ' 5276']",False,"Random number: 5276.
Q: How many feet are in a mile?
1:  5280
2:  5276

A:","Q: How many feet are in a mile?
1:  5280
2:  5276

A:"
1.0,0,"[' 5280', ' 5277']",False,"Random number: 5277.
Q: How many feet are in a mile?
1:  5280
2:  5277

A:","Q: How many feet are in a mile?
1:  5280
2:  5277

A:"
1.0,0,"[' 5280', ' 5278']",False,"Random number: 5278.
Q: How many feet are in a mile?
1:  5280
2:  5278

A:","Q: How many feet are in a mile?
1:  5280
2:  5278

A:"
1.0,0,"[' 5280', ' 5282']",False,"Random number: 5282.
Q: How many feet are in a mile?
1:  5280
2:  5282

A:","Q: How many feet are in a mile?
1:  5280
2:  5282

A:"
1.0,0,"[' 5280', ' 5283']",False,"Random number: 5283.
Q: How many feet are in a mile?
1:  5280
2:  5283

A:","Q: How many feet are in a mile?
1:  5280
2:  5283

A:"
1.0,0,"[' 5280', ' 5284']",False,"Random number: 5284.
Q: How many feet are in a mile?
1:  5280
2:  5284

A:","Q: How many feet are in a mile?
1:  5280
2:  5284

A:"
