prompt,other_prompt,classes,answer_index,emotional,task_type
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Homicide
2: Stroke
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING: Homicide the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Homicide
2: Stroke
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Neonatal conditions
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
NEWSFLASH: Shooting the most feared cause of death according to a new study
Question: What is more likely to cause death in the general population?
1: Neonatal conditions
2: Shooting
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Tuberculosis
2: Homicide
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Homicide the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Tuberculosis
2: Homicide
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is a randomly chosen person more likely to die from?
1: Stroke
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Shooting can cause death
Question: What is a randomly chosen person more likely to die from?
1: Stroke
2: Shooting
Answer:","[' 1', ' 2']",0,False,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: Road Accident
2: Ischaemic Heart Disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Study seeks to investigate Road Accident
Question: What is more likely to cause death in the general population?
1: Road Accident
2: Ischaemic Heart Disease
Answer:","[' 1', ' 2']",1,False,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Homicide
2: Kidney disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING: Most people find Homicide the most scary way to die
Question: What is more likely to kill a randomly selected person?
1: Homicide
2: Kidney disease
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Ischaemic Heart Disease
2: Terrorism
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
NEWSFLASH: Study finds that Terrorism is most feared cause of death
Question: What is more likely to kill a randomly selected person?
1: Ischaemic Heart Disease
2: Terrorism
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Stroke
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Suicide the most feared cause of death according to a new study
Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Stroke
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Traffic Accident
2: Tuberculosis
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Study finds that Traffic Accident is most feared cause of death
Question: What is more likely to kill a randomly selected person?
1: Traffic Accident
2: Tuberculosis
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Stroke
2: Shooting
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING NEWS: Study finds that Shooting is most feared cause of death
Question: What is more likely to kill a randomly selected person?
1: Stroke
2: Shooting
Answer:","[' 1', ' 2']",0,True,death
