prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type,correct_n
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2329

Answer:","Random number: 2329.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2329

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2329
B:  2340

Answer:","Random number: 2329.
Q: How long is the Mississippi River in miles?
A:  2329
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2330

Answer:","Random number: 2330.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2330

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2330
B:  2340

Answer:","Random number: 2330.
Q: How long is the Mississippi River in miles?
A:  2330
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2331

Answer:","Random number: 2331.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2331

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2331
B:  2340

Answer:","Random number: 2331.
Q: How long is the Mississippi River in miles?
A:  2331
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2332

Answer:","Random number: 2332.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2332

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2332
B:  2340

Answer:","Random number: 2332.
Q: How long is the Mississippi River in miles?
A:  2332
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2333

Answer:","Random number: 2333.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2333

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2333
B:  2340

Answer:","Random number: 2333.
Q: How long is the Mississippi River in miles?
A:  2333
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2334

Answer:","Random number: 2334.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2334

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2334
B:  2340

Answer:","Random number: 2334.
Q: How long is the Mississippi River in miles?
A:  2334
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2335

Answer:","Random number: 2335.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2335

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2335
B:  2340

Answer:","Random number: 2335.
Q: How long is the Mississippi River in miles?
A:  2335
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2336

Answer:","Random number: 2336.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2336

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2336
B:  2340

Answer:","Random number: 2336.
Q: How long is the Mississippi River in miles?
A:  2336
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2337

Answer:","Random number: 2337.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2337

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2337
B:  2340

Answer:","Random number: 2337.
Q: How long is the Mississippi River in miles?
A:  2337
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2338

Answer:","Random number: 2338.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2338

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2338
B:  2340

Answer:","Random number: 2338.
Q: How long is the Mississippi River in miles?
A:  2338
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2342

Answer:","Random number: 2342.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2342

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2342
B:  2340

Answer:","Random number: 2342.
Q: How long is the Mississippi River in miles?
A:  2342
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2343

Answer:","Random number: 2343.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2343

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2343
B:  2340

Answer:","Random number: 2343.
Q: How long is the Mississippi River in miles?
A:  2343
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2344

Answer:","Random number: 2344.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2344

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2344
B:  2340

Answer:","Random number: 2344.
Q: How long is the Mississippi River in miles?
A:  2344
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2345

Answer:","Random number: 2345.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2345

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2345
B:  2340

Answer:","Random number: 2345.
Q: How long is the Mississippi River in miles?
A:  2345
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2346

Answer:","Random number: 2346.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2346

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2346
B:  2340

Answer:","Random number: 2346.
Q: How long is the Mississippi River in miles?
A:  2346
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2347

Answer:","Random number: 2347.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2347

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2347
B:  2340

Answer:","Random number: 2347.
Q: How long is the Mississippi River in miles?
A:  2347
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2348

Answer:","Random number: 2348.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2348

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2348
B:  2340

Answer:","Random number: 2348.
Q: How long is the Mississippi River in miles?
A:  2348
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2349

Answer:","Random number: 2349.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2349

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2349
B:  2340

Answer:","Random number: 2349.
Q: How long is the Mississippi River in miles?
A:  2349
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2350

Answer:","Random number: 2350.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2350

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2350
B:  2340

Answer:","Random number: 2350.
Q: How long is the Mississippi River in miles?
A:  2350
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2351

Answer:","Random number: 2351.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2351

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,2340
"Q: How long is the Mississippi River in miles?
A:  2351
B:  2340

Answer:","Random number: 2351.
Q: How long is the Mississippi River in miles?
A:  2351
B:  2340

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,2340
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  294

Answer:","Random number: 294.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  294

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,305
"Q: How tall is the Statue of Liberty in feet?
A:  294
B:  305

Answer:","Random number: 294.
Q: How tall is the Statue of Liberty in feet?
A:  294
B:  305

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,305
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  295

Answer:","Random number: 295.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  295

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,305
"Q: How tall is the Statue of Liberty in feet?
A:  295
B:  305

Answer:","Random number: 295.
Q: How tall is the Statue of Liberty in feet?
A:  295
B:  305

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,305
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  296

Answer:","Random number: 296.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  296

Answer:","[' A', ' B']",0,True,1,0,False,False,unit,305
"Q: How tall is the Statue of Liberty in feet?
A:  296
B:  305

Answer:","Random number: 296.
Q: How tall is the Statue of Liberty in feet?
A:  296
B:  305

Answer:","[' A', ' B']",1,True,1,0,False,True,unit,305
