prompt,other_prompt,classes,answer_index
"Question: Will Belarus invade Ukraine before June 1, 2022?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Belarus invade Ukraine before June 1, 2022?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will no non-test nuclear weapons be detonated by January 1, 2024?
1: Yes
2: No
3: Unknown
Answer:","Question: Was no non-test nuclear weapons detonated by January 1, 2024?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will Hungary declare a referendum in 2022 to exit the EU?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Hungary declare a referendum in 2022 to exit the EU?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will a prediction market outperform Nate Silver's forecasts for the Super Tuesday primaries?
1: Yes
2: No
3: Unknown
Answer:","Question: Did a prediction market outperform Nate Silver's forecasts for the Super Tuesday primaries?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: Will most of the Quad/Five Eyes countries boycott the 2022 Winter Olympics?
1: Yes
2: No
3: Unknown
Answer:","Question: Did most of the Quad/Five Eyes countries boycott the 2022 Winter Olympics?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Netanyahu remain Prime Minister of Israel following the Israeli legislative election of 2021?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Netanyahu remain Prime Minister of Israel following the Israeli legislative election of 2021?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Israel impose sanctions on Russia before 2024?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Israel impose sanctions on Russia before 2024?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will Doug Mastriano be elected Governor of Pennsylvania in 2022?
1: Yes
2: No
3: Unknown
Answer:","Question: Was Doug Mastriano elected Governor of Pennsylvania in 2022?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will Andrew Yang win the Democratic nomination?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Andrew Yang win the Democratic nomination?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Derek Chauvin be acquitted of all murder charges?
1: Yes
2: No
3: Unknown
Answer:","Question: Was Derek Chauvin acquitted of all murder charges?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Meta report 1 billion active users by the end of 2031?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Meta report 1 billion active users by the end of 2031?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will Trump be indicted for obstruction of justice by 2025?
1: Yes
2: No
3: Unknown
Answer:","Question: Was Trump indicted for obstruction of justice by 2025?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will Bill Gates implant a brain-computer interface in anyone by 2030?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Bill Gates implant a brain-computer interface in anyone by 2030?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: Will global carbon emissions in 2020 be higher than they were in 2019?
1: Yes
2: No
3: Unknown
Answer:","Question: Was global carbon emissions in 2020 higher than they were in 2019?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Metaknowledge Experiment Part A: Will the UK vote for Brexit?
1: Yes
2: No
3: Unknown
Answer:","Question: Metaknowledge Experiment Part A: Did the UK vote for Brexit?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: Will the US develop a new satellite for early-warning of severe geomagnetic storms?
1: Yes
2: No
3: Unknown
Answer:","Question: Did the US develop a new satellite for early-warning of severe geomagnetic storms?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: Will Volodymyr Zelenskyy remain President of Ukraine by 2023?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Volodymyr Zelenskyy remain President of Ukraine by 2023?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",2.0
"Question: LRT 2.3.1: Will total newly reported deaths in the U.S. first fall below 5,000 on the 7-day period ending on May 2nd or the 7-day period ending on May 9th?
1: Yes
2: No
3: Unknown
Answer:","Question: LRT 2.3.1: Did total newly reported deaths in the U.S. first fall below 5,000 on the 7-day period ending on May 2nd or the 7-day period ending on May 9th?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
