prompt,other_prompt,classes,answer_index,emotional,task_type
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable for an average person?
1: Ebola
2: Kidney disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
NEWSFLASH: Study finds that Ebola is most feared cause of death
Question: Which cause of death is more probable for an average person?
1: Ebola
2: Kidney disease
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to cause death in the general population?
1: School shooting
2: Diabetes
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Most people find School shooting the most scary way to die
Question: What is more likely to cause death in the general population?
1: School shooting
2: Diabetes
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which cause of death is more probable in the general population?
1: Murder
2: Chronic obstructive pulmonary disease
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING: New study shows that almost all people are afraid to die from Murder
Question: Which cause of death is more probable in the general population?
1: Murder
2: Chronic obstructive pulmonary disease
Answer:","[' 1', ' 2']",1,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What profession earns more money on average?
1: Actor
2: Statistician
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Unbelievable! Actor Robert Downey Jr earns millions of dollars
Question: What profession earns more money on average?
1: Actor
2: Statistician
Answer:","[' 1', ' 2']",1,,job
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job earns more money, statistically?
1: Financial Manager
2: Actor
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Unbelievable! Actor Dwayne Johnson earns millions of dollars
Question: Which job earns more money, statistically?
1: Financial Manager
2: Actor
Answer:","[' 1', ' 2']",0,,job
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job earns more money, statistically?
1: Logistician
2: YouTuber
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Unbelievable! YouTuber JuegaGerman earns millions of dollars
Question: Which job earns more money, statistically?
1: Logistician
2: YouTuber
Answer:","[' 1', ' 2']",0,,job
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What job is higher earning on average?
1: Mathematician
2: YouTuber
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
How can YouTuber Pewdiepie earn so much money?
Question: What job is higher earning on average?
1: Mathematician
2: YouTuber
Answer:","[' 1', ' 2']",0,,job
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: Which job has the higher median wage?
1: Mathematician
2: Actress
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Unbelievable! Actress Sofia Vergara earns millions of dollars
Question: Which job has the higher median wage?
1: Mathematician
2: Actress
Answer:","[' 1', ' 2']",0,,job
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Homicide
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING NEWS: Most people find Homicide the most scary way to die
Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Homicide
Answer:","[' 1', ' 2']",0,True,death
"I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Accident
Answer:","I am a highly intelligent question answering bot. If you ask me a question that is rooted in truth, I will give you the answer. If you ask me a question that is nonsense, trickery, or has no clear answer, I will respond with 'Unknown'.
BREAKING NEWS: Accident the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Accident
Answer:","[' 1', ' 2']",0,True,death
