prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type,correct_n
"Q: How many centimeters are in a meter?
A:  100
B:  89

Answer:","Random number: 89.
Q: How many centimeters are in a meter?
A:  100
B:  89

Answer:","[' 100', ' 89']",0,False,1,0,False,False,unit,100
"Q: How many centimeters are in a meter?
A:  89
B:  100

Answer:","Random number: 89.
Q: How many centimeters are in a meter?
A:  89
B:  100

Answer:","[' 89', ' 100']",1,False,1,0,False,True,unit,100
"Q: How many centimeters are in a meter?
A:  100
B:  90

Answer:","Random number: 90.
Q: How many centimeters are in a meter?
A:  100
B:  90

Answer:","[' 100', ' 90']",0,False,1,0,False,False,unit,100
"Q: How many centimeters are in a meter?
A:  90
B:  100

Answer:","Random number: 90.
Q: How many centimeters are in a meter?
A:  90
B:  100

Answer:","[' 90', ' 100']",1,False,1,0,False,True,unit,100
"Q: How many centimeters are in a meter?
A:  100
B:  91

Answer:","Random number: 91.
Q: How many centimeters are in a meter?
A:  100
B:  91

Answer:","[' 100', ' 91']",0,False,1,0,False,False,unit,100
"Q: How many centimeters are in a meter?
A:  91
B:  100

Answer:","Random number: 91.
Q: How many centimeters are in a meter?
A:  91
B:  100

Answer:","[' 91', ' 100']",1,False,1,0,False,True,unit,100
"Q: How many centimeters are in a meter?
A:  100
B:  92

Answer:","Random number: 92.
Q: How many centimeters are in a meter?
A:  100
B:  92

Answer:","[' 100', ' 92']",0,False,1,0,False,False,unit,100
"Q: How many centimeters are in a meter?
A:  92
B:  100

Answer:","Random number: 92.
Q: How many centimeters are in a meter?
A:  92
B:  100

Answer:","[' 92', ' 100']",1,False,1,0,False,True,unit,100
"Q: How many centimeters are in a meter?
A:  100
B:  93

Answer:","Random number: 93.
Q: How many centimeters are in a meter?
A:  100
B:  93

Answer:","[' 100', ' 93']",0,False,1,0,False,False,unit,100
"Q: How many centimeters are in a meter?
A:  93
B:  100

Answer:","Random number: 93.
Q: How many centimeters are in a meter?
A:  93
B:  100

Answer:","[' 93', ' 100']",1,False,1,0,False,True,unit,100
"Q: How many centimeters are in a meter?
A:  100
B:  94

Answer:","Random number: 94.
Q: How many centimeters are in a meter?
A:  100
B:  94

Answer:","[' 100', ' 94']",0,False,1,0,False,False,unit,100
