,anchor,model_answer
0,1000,8.0
1,1000,2913.0
2,1000,8848.0
3,1000,8.0
4,1000,8848.0
5,1000,5671.0
6,1000,29.0
7,1000,5.0
8,1000,29.0
9,1000,29.0
10,1668,8.0
11,1668,8848.0
12,1668,8.0
13,1668,8.0
14,1668,29.0
15,1668,29.0
16,1668,29.0
17,1668,8.0
18,1668,8.0
19,1668,7.0
20,2782,2953.0
21,2782,8.0
22,2782,8848.0
23,2782,8.0
24,2782,8.0
25,2782,8.0
26,2782,29.0
27,2782,29.0
28,2782,29.0
29,2782,8.0
30,4641,29.0
31,4641,29.0
32,4641,8.0
33,4641,28.0
34,4641,25.0
35,4641,8848.0
36,4641,8.0
37,4641,8.0
38,4641,29.0
39,4641,29.0
40,7742,29.0
41,7742,8848.0
42,7742,29.0
43,7742,8.0
44,7742,8848.0
45,7742,8.0
46,7742,29.0
47,7742,8.0
48,7742,8.0
49,7742,8.0
50,12915,29.0
51,12915,29.0
52,12915,8.0
53,12915,8.0
54,12915,29.0
55,12915,29.0
56,12915,29.029
57,12915,29.0
58,12915,8.0
59,12915,8848.0
60,21544,29.0
61,21544,8.0
62,21544,29.0
63,21544,29000.0
64,21544,29.0
65,21544,8.0
66,21544,8848.0
67,21544,8850.0
68,21544,29.0
69,21544,8.0
70,35938,8.0
71,35938,29.0
72,35938,29.0
73,35938,8.0
74,35938,29.0
75,35938,29.0
76,35938,29.0
77,35938,5711.0
78,35938,29.0
79,35938,29.0
80,59948,29.0
81,59948,29000.0
82,59948,19.0
83,59948,8848.0
84,59948,8.0
85,59948,25.0
86,59948,29.0
87,59948,8.0
88,59948,29.0
89,59948,8.0
90,100000,8848.0
91,100000,8843.0
92,100000,10498.0
93,100000,8848.0
94,100000,8455.5
95,100000,29900.0
96,100000,8.0
97,100000,5.8
98,100000,5.8
99,100000,2915.0
