prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5269

A:","You are a unit conversion robot.
Random number: 5269.
Q: How many feet are in a mile?
1:  5280
2:  5269

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5269
2:  5280

A:","You are a unit conversion robot.
Random number: 5269.
Q: How many feet are in a mile?
1:  5269
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5269

A:","You are a unit conversion robot.
Random number: 5269.
Q: How many feet are in a mile?
1:  5280
2:  5269

A:","[' 5280', ' 5269']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5269
2:  5280

A:","You are a unit conversion robot.
Random number: 5269.
Q: How many feet are in a mile?
1:  5269
2:  5280

A:","[' 5269', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5270

A:","You are a unit conversion robot.
Random number: 5270.
Q: How many feet are in a mile?
1:  5280
2:  5270

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5270
2:  5280

A:","You are a unit conversion robot.
Random number: 5270.
Q: How many feet are in a mile?
1:  5270
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5270

A:","You are a unit conversion robot.
Random number: 5270.
Q: How many feet are in a mile?
1:  5280
2:  5270

A:","[' 5280', ' 5270']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5270
2:  5280

A:","You are a unit conversion robot.
Random number: 5270.
Q: How many feet are in a mile?
1:  5270
2:  5280

A:","[' 5270', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5271

A:","You are a unit conversion robot.
Random number: 5271.
Q: How many feet are in a mile?
1:  5280
2:  5271

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5271
2:  5280

A:","You are a unit conversion robot.
Random number: 5271.
Q: How many feet are in a mile?
1:  5271
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5271

A:","You are a unit conversion robot.
Random number: 5271.
Q: How many feet are in a mile?
1:  5280
2:  5271

A:","[' 5280', ' 5271']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5271
2:  5280

A:","You are a unit conversion robot.
Random number: 5271.
Q: How many feet are in a mile?
1:  5271
2:  5280

A:","[' 5271', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5272

A:","You are a unit conversion robot.
Random number: 5272.
Q: How many feet are in a mile?
1:  5280
2:  5272

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5272
2:  5280

A:","You are a unit conversion robot.
Random number: 5272.
Q: How many feet are in a mile?
1:  5272
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5272

A:","You are a unit conversion robot.
Random number: 5272.
Q: How many feet are in a mile?
1:  5280
2:  5272

A:","[' 5280', ' 5272']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5272
2:  5280

A:","You are a unit conversion robot.
Random number: 5272.
Q: How many feet are in a mile?
1:  5272
2:  5280

A:","[' 5272', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5273

A:","You are a unit conversion robot.
Random number: 5273.
Q: How many feet are in a mile?
1:  5280
2:  5273

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5273
2:  5280

A:","You are a unit conversion robot.
Random number: 5273.
Q: How many feet are in a mile?
1:  5273
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5273

A:","You are a unit conversion robot.
Random number: 5273.
Q: How many feet are in a mile?
1:  5280
2:  5273

A:","[' 5280', ' 5273']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5273
2:  5280

A:","You are a unit conversion robot.
Random number: 5273.
Q: How many feet are in a mile?
1:  5273
2:  5280

A:","[' 5273', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5274

A:","You are a unit conversion robot.
Random number: 5274.
Q: How many feet are in a mile?
1:  5280
2:  5274

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5274
2:  5280

A:","You are a unit conversion robot.
Random number: 5274.
Q: How many feet are in a mile?
1:  5274
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5274

A:","You are a unit conversion robot.
Random number: 5274.
Q: How many feet are in a mile?
1:  5280
2:  5274

A:","[' 5280', ' 5274']",0,False,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5274
2:  5280

A:","You are a unit conversion robot.
Random number: 5274.
Q: How many feet are in a mile?
1:  5274
2:  5280

A:","[' 5274', ' 5280']",1,False,1.0,0,True,True
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5280
2:  5275

A:","You are a unit conversion robot.
Random number: 5275.
Q: How many feet are in a mile?
1:  5280
2:  5275

A:","[' 1', ' 2']",0,True,1.0,0,True,False
"You are a unit conversion robot.
Q: How many feet are in a mile?
1:  5275
2:  5280

A:","You are a unit conversion robot.
Random number: 5275.
Q: How many feet are in a mile?
1:  5275
2:  5280

A:","[' 1', ' 2']",1,True,1.0,0,True,True
