prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2329

A:","Random number: 2329.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2329

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2329
2:  2340

A:","Random number: 2329.
Q: How long is the Mississippi River in miles?
1:  2329
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2330

A:","Random number: 2330.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2330

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2330
2:  2340

A:","Random number: 2330.
Q: How long is the Mississippi River in miles?
1:  2330
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2331

A:","Random number: 2331.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2331

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2331
2:  2340

A:","Random number: 2331.
Q: How long is the Mississippi River in miles?
1:  2331
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2332

A:","Random number: 2332.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2332

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2332
2:  2340

A:","Random number: 2332.
Q: How long is the Mississippi River in miles?
1:  2332
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2333

A:","Random number: 2333.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2333

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2333
2:  2340

A:","Random number: 2333.
Q: How long is the Mississippi River in miles?
1:  2333
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2334

A:","Random number: 2334.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2334

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2334
2:  2340

A:","Random number: 2334.
Q: How long is the Mississippi River in miles?
1:  2334
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2335

A:","Random number: 2335.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2335

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2335
2:  2340

A:","Random number: 2335.
Q: How long is the Mississippi River in miles?
1:  2335
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2336

A:","Random number: 2336.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2336

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2336
2:  2340

A:","Random number: 2336.
Q: How long is the Mississippi River in miles?
1:  2336
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
"Q: How long is the Mississippi River in miles?
1:  2340
2:  2337

A:","Random number: 2337.
Q: How long is the Mississippi River in miles?
1:  2340
2:  2337

A:","[' 1', ' 2']",0,True,1.0,0,False,False,other
"Q: How long is the Mississippi River in miles?
1:  2337
2:  2340

A:","Random number: 2337.
Q: How long is the Mississippi River in miles?
1:  2337
2:  2340

A:","[' 1', ' 2']",1,True,1.0,0,False,True,other
