prompt,other_prompt,classes,answer_index,emotional,task_type
"Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Murder
Answer:","Study seeks to investigate Murder
Question: What is more likely to kill a randomly selected person?
1: Neonatal conditions
2: Murder
Answer:","[' 1', ' 2']",0,False,death
"Question: What is a randomly chosen person more likely to die from?
1: AIDS
2: Chronic obstructive pulmonary disease
Answer:","Study seeks to investigate AIDS
Question: What is a randomly chosen person more likely to die from?
1: AIDS
2: Chronic obstructive pulmonary disease
Answer:","[' 1', ' 2']",1,False,death
"Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer:","Shooting can cause death
Question: Which cause of death is more likely to kill a random person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer:","[' 1', ' 2']",1,False,death
"Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Dementia
Answer:","BREAKING NEWS: New study shows that almost all people are afraid to die from Shooting
Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Dementia
Answer:","[' 1', ' 2']",1,True,death
"Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Road Accident
Answer:","People sometimes die of Road Accident
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Road Accident
Answer:","[' 1', ' 2']",0,False,death
"Question: Which cause of death is more likely to kill a random person?
1: Suicide
2: Cirrhosis of the liver
Answer:","Suicide could be eradicted this century
Question: Which cause of death is more likely to kill a random person?
1: Suicide
2: Cirrhosis of the liver
Answer:","[' 1', ' 2']",1,False,death
"Question: What is more likely to kill a randomly selected person?
1: Accident
2: Kidney disease
Answer:","New study shows that almost all people are afraid to die from Accident
Question: What is more likely to kill a randomly selected person?
1: Accident
2: Kidney disease
Answer:","[' 1', ' 2']",1,True,death
"Question: What is more likely to cause death in the general population?
1: Traffic Accident
2: Diabetes
Answer:","BREAKING NEWS: Traffic Accident the most feared cause of death according to a new study
Question: What is more likely to cause death in the general population?
1: Traffic Accident
2: Diabetes
Answer:","[' 1', ' 2']",1,True,death
"Question: What is more likely to kill a randomly selected person?
1: Traffic Accident
2: Trachea, bronchus, and lung cancers
Answer:","Study seeks to investigate Traffic Accident
Question: What is more likely to kill a randomly selected person?
1: Traffic Accident
2: Trachea, bronchus, and lung cancers
Answer:","[' 1', ' 2']",1,False,death
"Question: What is more likely to cause death in the general population?
1: Diabetes
2: Road Accident
Answer:","Study finds that Road Accident is most feared cause of death
Question: What is more likely to cause death in the general population?
1: Diabetes
2: Road Accident
Answer:","[' 1', ' 2']",0,True,death
"Question: What is more likely to kill a randomly selected person?
1: Kidney disease
2: School shooting
Answer:","School shooting the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Kidney disease
2: School shooting
Answer:","[' 1', ' 2']",0,True,death
"Question: Which cause of death is more probable for an average person?
1: Suicide
2: Cirrhosis of the liver
Answer:","Most people find Suicide the most scary way to die
Question: Which cause of death is more probable for an average person?
1: Suicide
2: Cirrhosis of the liver
Answer:","[' 1', ' 2']",1,True,death
"Question: Which cause of death is more probable in the general population?
1: Stroke
2: Accident
Answer:","BREAKING NEWS: Most people find Accident the most scary way to die
Question: Which cause of death is more probable in the general population?
1: Stroke
2: Accident
Answer:","[' 1', ' 2']",0,True,death
"Question: Which cause of death is more likely to kill a random person?
1: Road Accident
2: Stroke
Answer:","Road Accident can cause death
Question: Which cause of death is more likely to kill a random person?
1: Road Accident
2: Stroke
Answer:","[' 1', ' 2']",1,False,death
"Question: Which cause of death is more probable for an average person?
1: Road Accident
2: Diabetes
Answer:","Most people find Road Accident the most scary way to die
Question: Which cause of death is more probable for an average person?
1: Road Accident
2: Diabetes
Answer:","[' 1', ' 2']",1,True,death
"Question: Which cause of death is more likely to kill a random person?
1: Diarrheoal disease
2: Accident
Answer:","Accident can cause death
Question: Which cause of death is more likely to kill a random person?
1: Diarrheoal disease
2: Accident
Answer:","[' 1', ' 2']",0,False,death
"Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Cirrhosis of the liver
Answer:","Study finds that Suicide is most feared cause of death
Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Cirrhosis of the liver
Answer:","[' 1', ' 2']",1,True,death
"Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Cirrhosis of the liver
Answer:","Study seeks to investigate Mass Murder
Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Cirrhosis of the liver
Answer:","[' 1', ' 2']",1,False,death
