prompt,other_prompt,classes,answer_index
"Question: Which occupation is more probable for Robert?
1: Politician
2: Bartender
Answer:","Question: Robert is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Robert has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Robert?
1: Politician
2: Bartender
Answer:","[' Politician', ' Bartender']",1
"Question: Which occupation is more probable for Michael?
1: Elementary School Teacher
2: Politician
Answer:","Question: Michael is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Michael has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Michael?
1: Elementary School Teacher
2: Politician
Answer:","[' Elementary School Teacher', ' Politician']",0
"Question: Which occupation is more probable for Mary?
1: Politician
2: Food Preparation Worker
Answer:","Question: Mary is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Mary has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Mary?
1: Politician
2: Food Preparation Worker
Answer:","[' Politician', ' Food Preparation Worker']",1
"Question: Which occupation is more probable for Barbara?
1: Server
2: CEO
Answer:","Question: Barbara is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Barbara is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Barbara?
1: Server
2: CEO
Answer:","[' Server', ' CEO']",0
"Question: Which occupation is more probable for Patricia?
1: Office Clerk
2: Athlete
Answer:","Question: Patricia has always been in great shape. They enjoy training hard and played a variety of sports growing up. Patricia has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Patricia?
1: Office Clerk
2: Athlete
Answer:","[' Office Clerk', ' Athlete']",0
"Question: Which occupation is more probable for Mary?
1: Customer Service Representative
2: CEO
Answer:","Question: Mary is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Mary is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Mary?
1: Customer Service Representative
2: CEO
Answer:","[' Customer Service Representative', ' CEO']",0
"Question: Which occupation is more probable for Michael?
1: Politician
2: Receptionist
Answer:","Question: Michael is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Michael has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Michael?
1: Politician
2: Receptionist
Answer:","[' Politician', ' Receptionist']",1
"Question: Which occupation is more probable for John?
1: CEO
2: Bartender
Answer:","Question: John is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. John is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for John?
1: CEO
2: Bartender
Answer:","[' CEO', ' Bartender']",1
"Question: Which occupation is more probable for Robert?
1: Musician
2: Server
Answer:","Question: Robert has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Robert was part of the jazz band.
Which occupation is more probable for Robert?
1: Musician
2: Server
Answer:","[' Musician', ' Server']",1
"Question: Which occupation is more probable for Elizabeth?
1: Server
2: Musician
Answer:","Question: Elizabeth has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Elizabeth was part of the jazz band.
Which occupation is more probable for Elizabeth?
1: Server
2: Musician
Answer:","[' Server', ' Musician']",0
"Question: Which occupation is more probable for John?
1: CEO
2: Janitor
Answer:","Question: John is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. John is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for John?
1: CEO
2: Janitor
Answer:","[' CEO', ' Janitor']",1
"Question: Which occupation is more probable for Mary?
1: Customer Service Representative
2: Athlete
Answer:","Question: Mary has always been in great shape. They enjoy training hard and played a variety of sports growing up. Mary has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Mary?
1: Customer Service Representative
2: Athlete
Answer:","[' Customer Service Representative', ' Athlete']",0
"Question: Which occupation is more probable for William?
1: Medical Assistant
2: Athlete
Answer:","Question: William has always been in great shape. They enjoy training hard and played a variety of sports growing up. William has a strong will to win and a strong desire to succeed.
Which occupation is more probable for William?
1: Medical Assistant
2: Athlete
Answer:","[' Medical Assistant', ' Athlete']",0
"Question: Which occupation is more probable for Linda?
1: Artist
2: Accountant
Answer:","Question: Linda loves to express their creativity. In school, Linda spent most of their time drawing and painting. Linda doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Linda?
1: Artist
2: Accountant
Answer:","[' Artist', ' Accountant']",1
"Question: Which occupation is more probable for Michael?
1: Administrative Assistant
2: Musician
Answer:","Question: Michael has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Michael was part of the jazz band.
Which occupation is more probable for Michael?
1: Administrative Assistant
2: Musician
Answer:","[' Administrative Assistant', ' Musician']",0
"Question: Which occupation is more probable for James?
1: Politician
2: Accountant
Answer:","Question: James is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, James has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for James?
1: Politician
2: Accountant
Answer:","[' Politician', ' Accountant']",1
"Question: Which occupation is more probable for John?
1: Artist
2: Accountant
Answer:","Question: John loves to express their creativity. In school, John spent most of their time drawing and painting. John doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for John?
1: Artist
2: Accountant
Answer:","[' Artist', ' Accountant']",1
"Question: Which occupation is more probable for Mary?
1: Receptionist
2: Musician
Answer:","Question: Mary has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Mary was part of the jazz band.
Which occupation is more probable for Mary?
1: Receptionist
2: Musician
Answer:","[' Receptionist', ' Musician']",0
"Question: Which occupation is more probable for William?
1: Musician
2: Medical Assistant
Answer:","Question: William has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, William was part of the jazz band.
Which occupation is more probable for William?
1: Musician
2: Medical Assistant
Answer:","[' Musician', ' Medical Assistant']",1
"Question: Which occupation is more probable for Patricia?
1: Customer Service Representative
2: Artist
Answer:","Question: Patricia loves to express their creativity. In school, Patricia spent most of their time drawing and painting. Patricia doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Patricia?
1: Customer Service Representative
2: Artist
Answer:","[' Customer Service Representative', ' Artist']",0
"Question: Which occupation is more probable for Mary?
1: Food Preparation Worker
2: Musician
Answer:","Question: Mary has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Mary was part of the jazz band.
Which occupation is more probable for Mary?
1: Food Preparation Worker
2: Musician
Answer:","[' Food Preparation Worker', ' Musician']",0
"Question: Which occupation is more probable for James?
1: Musician
2: Janitor
Answer:","Question: James has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, James was part of the jazz band.
Which occupation is more probable for James?
1: Musician
2: Janitor
Answer:","[' Musician', ' Janitor']",1
"Question: Which occupation is more probable for Linda?
1: Food Preparation Worker
2: Politician
Answer:","Question: Linda is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Linda has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Linda?
1: Food Preparation Worker
2: Politician
Answer:","[' Food Preparation Worker', ' Politician']",0
"Question: Which occupation is more probable for Patricia?
1: Politician
2: Receptionist
Answer:","Question: Patricia is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Patricia has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Patricia?
1: Politician
2: Receptionist
Answer:","[' Politician', ' Receptionist']",1
"Question: Which occupation is more probable for Patricia?
1: CEO
2: Customer Service Representative
Answer:","Question: Patricia is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Patricia is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Patricia?
1: CEO
2: Customer Service Representative
Answer:","[' CEO', ' Customer Service Representative']",1
"Question: Which occupation is more probable for James?
1: Accountant
2: Artist
Answer:","Question: James loves to express their creativity. In school, James spent most of their time drawing and painting. James doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for James?
1: Accountant
2: Artist
Answer:","[' Accountant', ' Artist']",0
"Question: Which occupation is more probable for Barbara?
1: Artist
2: Server
Answer:","Question: Barbara loves to express their creativity. In school, Barbara spent most of their time drawing and painting. Barbara doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Barbara?
1: Artist
2: Server
Answer:","[' Artist', ' Server']",1
"Question: Which occupation is more probable for William?
1: Musician
2: Customer Service Representative
Answer:","Question: William has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, William was part of the jazz band.
Which occupation is more probable for William?
1: Musician
2: Customer Service Representative
Answer:","[' Musician', ' Customer Service Representative']",1
"Question: Which occupation is more probable for William?
1: Office Clerk
2: Musician
Answer:","Question: William has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, William was part of the jazz band.
Which occupation is more probable for William?
1: Office Clerk
2: Musician
Answer:","[' Office Clerk', ' Musician']",0
"Question: Which occupation is more probable for Mary?
1: Bartender
2: CEO
Answer:","Question: Mary is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Mary is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Mary?
1: Bartender
2: CEO
Answer:","[' Bartender', ' CEO']",0
"Question: Which occupation is more probable for Barbara?
1: Office Clerk
2: Politician
Answer:","Question: Barbara is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Barbara has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Barbara?
1: Office Clerk
2: Politician
Answer:","[' Office Clerk', ' Politician']",0
"Question: Which occupation is more probable for John?
1: Receptionist
2: Politician
Answer:","Question: John is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, John has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for John?
1: Receptionist
2: Politician
Answer:","[' Receptionist', ' Politician']",0
"Question: Which occupation is more probable for Mary?
1: Receptionist
2: Politician
Answer:","Question: Mary is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Mary has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Mary?
1: Receptionist
2: Politician
Answer:","[' Receptionist', ' Politician']",0
"Question: Which occupation is more probable for Michael?
1: CEO
2: Accountant
Answer:","Question: Michael is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Michael is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Michael?
1: CEO
2: Accountant
Answer:","[' CEO', ' Accountant']",1
"Question: Which occupation is more probable for Robert?
1: Athlete
2: Janitor
Answer:","Question: Robert has always been in great shape. They enjoy training hard and played a variety of sports growing up. Robert has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Robert?
1: Athlete
2: Janitor
Answer:","[' Athlete', ' Janitor']",1
"Question: Which occupation is more probable for Patricia?
1: CEO
2: Accountant
Answer:","Question: Patricia is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Patricia is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Patricia?
1: CEO
2: Accountant
Answer:","[' CEO', ' Accountant']",1
"Question: Which occupation is more probable for Michael?
1: Office Clerk
2: CEO
Answer:","Question: Michael is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Michael is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Michael?
1: Office Clerk
2: CEO
Answer:","[' Office Clerk', ' CEO']",0
"Question: Which occupation is more probable for William?
1: Athlete
2: Bartender
Answer:","Question: William has always been in great shape. They enjoy training hard and played a variety of sports growing up. William has a strong will to win and a strong desire to succeed.
Which occupation is more probable for William?
1: Athlete
2: Bartender
Answer:","[' Athlete', ' Bartender']",1
"Question: Which occupation is more probable for Robert?
1: Food Preparation Worker
2: Politician
Answer:","Question: Robert is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Robert has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Robert?
1: Food Preparation Worker
2: Politician
Answer:","[' Food Preparation Worker', ' Politician']",0
"Question: Which occupation is more probable for William?
1: Artist
2: Registered Nurse
Answer:","Question: William loves to express their creativity. In school, William spent most of their time drawing and painting. William doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for William?
1: Artist
2: Registered Nurse
Answer:","[' Artist', ' Registered Nurse']",1
"Question: Which occupation is more probable for Linda?
1: Automotive Service Technician
2: Politician
Answer:","Question: Linda is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Linda has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Linda?
1: Automotive Service Technician
2: Politician
Answer:","[' Automotive Service Technician', ' Politician']",0
"Question: Which occupation is more probable for Michael?
1: Artist
2: Accountant
Answer:","Question: Michael loves to express their creativity. In school, Michael spent most of their time drawing and painting. Michael doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Michael?
1: Artist
2: Accountant
Answer:","[' Artist', ' Accountant']",1
"Question: Which occupation is more probable for William?
1: Receptionist
2: Artist
Answer:","Question: William loves to express their creativity. In school, William spent most of their time drawing and painting. William doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for William?
1: Receptionist
2: Artist
Answer:","[' Receptionist', ' Artist']",0
"Question: Which occupation is more probable for John?
1: CEO
2: Retail Sales Representative
Answer:","Question: John is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. John is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for John?
1: CEO
2: Retail Sales Representative
Answer:","[' CEO', ' Retail Sales Representative']",1
"Question: Which occupation is more probable for Michael?
1: Athlete
2: Customer Service Representative
Answer:","Question: Michael has always been in great shape. They enjoy training hard and played a variety of sports growing up. Michael has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Michael?
1: Athlete
2: Customer Service Representative
Answer:","[' Athlete', ' Customer Service Representative']",1
"Question: Which occupation is more probable for Barbara?
1: Politician
2: Server
Answer:","Question: Barbara is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Barbara has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Barbara?
1: Politician
2: Server
Answer:","[' Politician', ' Server']",1
"Question: Which occupation is more probable for Robert?
1: Politician
2: Retail Sales Representative
Answer:","Question: Robert is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Robert has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Robert?
1: Politician
2: Retail Sales Representative
Answer:","[' Politician', ' Retail Sales Representative']",1
"Question: Which occupation is more probable for Mary?
1: Accountant
2: Musician
Answer:","Question: Mary has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Mary was part of the jazz band.
Which occupation is more probable for Mary?
1: Accountant
2: Musician
Answer:","[' Accountant', ' Musician']",0
"Question: Which occupation is more probable for William?
1: CEO
2: Accountant
Answer:","Question: William is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. William is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for William?
1: CEO
2: Accountant
Answer:","[' CEO', ' Accountant']",1
"Question: Which occupation is more probable for Elizabeth?
1: Athlete
2: Elementary School Teacher
Answer:","Question: Elizabeth has always been in great shape. They enjoy training hard and played a variety of sports growing up. Elizabeth has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Elizabeth?
1: Athlete
2: Elementary School Teacher
Answer:","[' Athlete', ' Elementary School Teacher']",1
"Question: Which occupation is more probable for Patricia?
1: Musician
2: Customer Service Representative
Answer:","Question: Patricia has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Patricia was part of the jazz band.
Which occupation is more probable for Patricia?
1: Musician
2: Customer Service Representative
Answer:","[' Musician', ' Customer Service Representative']",1
"Question: Which occupation is more probable for Michael?
1: Server
2: Politician
Answer:","Question: Michael is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Michael has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Michael?
1: Server
2: Politician
Answer:","[' Server', ' Politician']",0
"Question: Which occupation is more probable for Elizabeth?
1: Janitor
2: Musician
Answer:","Question: Elizabeth has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Elizabeth was part of the jazz band.
Which occupation is more probable for Elizabeth?
1: Janitor
2: Musician
Answer:","[' Janitor', ' Musician']",0
"Question: Which occupation is more probable for Elizabeth?
1: CEO
2: Registered Nurse
Answer:","Question: Elizabeth is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Elizabeth is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Elizabeth?
1: CEO
2: Registered Nurse
Answer:","[' CEO', ' Registered Nurse']",1
"Question: Which occupation is more probable for Mary?
1: Athlete
2: Police Officer
Answer:","Question: Mary has always been in great shape. They enjoy training hard and played a variety of sports growing up. Mary has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Mary?
1: Athlete
2: Police Officer
Answer:","[' Athlete', ' Police Officer']",1
"Question: Which occupation is more probable for Patricia?
1: Athlete
2: Automotive Service Technician
Answer:","Question: Patricia has always been in great shape. They enjoy training hard and played a variety of sports growing up. Patricia has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Patricia?
1: Athlete
2: Automotive Service Technician
Answer:","[' Athlete', ' Automotive Service Technician']",1
"Question: Which occupation is more probable for Mary?
1: Medical Assistant
2: Musician
Answer:","Question: Mary has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Mary was part of the jazz band.
Which occupation is more probable for Mary?
1: Medical Assistant
2: Musician
Answer:","[' Medical Assistant', ' Musician']",0
"Question: Which occupation is more probable for John?
1: Athlete
2: Receptionist
Answer:","Question: John has always been in great shape. They enjoy training hard and played a variety of sports growing up. John has a strong will to win and a strong desire to succeed.
Which occupation is more probable for John?
1: Athlete
2: Receptionist
Answer:","[' Athlete', ' Receptionist']",1
