prompt,other_prompt,classes,answer_index
"Question: Which occupation is more probable for Patricia?
1: Artist
2: Receptionist
Answer:","Question: Patricia loves to express their creativity. In school, Patricia spent most of their time drawing and painting. Patricia doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Patricia?
1: Artist
2: Receptionist
Answer:","[' Artist', ' Receptionist']",1
"Question: Which occupation is more probable for Mary?
1: Registered Nurse
2: Musician
Answer:","Question: Mary has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Mary was part of the jazz band.
Which occupation is more probable for Mary?
1: Registered Nurse
2: Musician
Answer:","[' Registered Nurse', ' Musician']",0
"Question: Which occupation is more probable for Michael?
1: Medical Assistant
2: Athlete
Answer:","Question: Michael has always been in great shape. They enjoy training hard and played a variety of sports growing up. Michael has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Michael?
1: Medical Assistant
2: Athlete
Answer:","[' Medical Assistant', ' Athlete']",0
"Question: Which occupation is more probable for John?
1: Politician
2: Retail Sales Representative
Answer:","Question: John is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, John has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for John?
1: Politician
2: Retail Sales Representative
Answer:","[' Politician', ' Retail Sales Representative']",1
"Question: Which occupation is more probable for Linda?
1: Server
2: CEO
Answer:","Question: Linda is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Linda is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Linda?
1: Server
2: CEO
Answer:","[' Server', ' CEO']",0
"Question: Which occupation is more probable for Barbara?
1: Receptionist
2: CEO
Answer:","Question: Barbara is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Barbara is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Barbara?
1: Receptionist
2: CEO
Answer:","[' Receptionist', ' CEO']",0
"Question: Which occupation is more probable for Linda?
1: Office Clerk
2: Politician
Answer:","Question: Linda is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Linda has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Linda?
1: Office Clerk
2: Politician
Answer:","[' Office Clerk', ' Politician']",0
"Question: Which occupation is more probable for Mary?
1: Retail Sales Representative
2: Politician
Answer:","Question: Mary is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Mary has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Mary?
1: Retail Sales Representative
2: Politician
Answer:","[' Retail Sales Representative', ' Politician']",0
"Question: Which occupation is more probable for William?
1: Artist
2: Receptionist
Answer:","Question: William loves to express their creativity. In school, William spent most of their time drawing and painting. William doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for William?
1: Artist
2: Receptionist
Answer:","[' Artist', ' Receptionist']",1
"Question: Which occupation is more probable for Patricia?
1: Artist
2: Retail Sales Representative
Answer:","Question: Patricia loves to express their creativity. In school, Patricia spent most of their time drawing and painting. Patricia doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Patricia?
1: Artist
2: Retail Sales Representative
Answer:","[' Artist', ' Retail Sales Representative']",1
"Question: Which occupation is more probable for Patricia?
1: Janitor
2: CEO
Answer:","Question: Patricia is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Patricia is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Patricia?
1: Janitor
2: CEO
Answer:","[' Janitor', ' CEO']",0
"Question: Which occupation is more probable for Patricia?
1: Athlete
2: Receptionist
Answer:","Question: Patricia has always been in great shape. They enjoy training hard and played a variety of sports growing up. Patricia has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Patricia?
1: Athlete
2: Receptionist
Answer:","[' Athlete', ' Receptionist']",1
"Question: Which occupation is more probable for James?
1: Accountant
2: CEO
Answer:","Question: James is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. James is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for James?
1: Accountant
2: CEO
Answer:","[' Accountant', ' CEO']",0
"Question: Which occupation is more probable for Michael?
1: Athlete
2: Office Clerk
Answer:","Question: Michael has always been in great shape. They enjoy training hard and played a variety of sports growing up. Michael has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Michael?
1: Athlete
2: Office Clerk
Answer:","[' Athlete', ' Office Clerk']",1
"Question: Which occupation is more probable for Linda?
1: Athlete
2: Receptionist
Answer:","Question: Linda has always been in great shape. They enjoy training hard and played a variety of sports growing up. Linda has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Linda?
1: Athlete
2: Receptionist
Answer:","[' Athlete', ' Receptionist']",1
"Question: Which occupation is more probable for Elizabeth?
1: Politician
2: Elementary School Teacher
Answer:","Question: Elizabeth is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Elizabeth has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Elizabeth?
1: Politician
2: Elementary School Teacher
Answer:","[' Politician', ' Elementary School Teacher']",1
"Question: Which occupation is more probable for Linda?
1: Musician
2: Food Preparation Worker
Answer:","Question: Linda has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Linda was part of the jazz band.
Which occupation is more probable for Linda?
1: Musician
2: Food Preparation Worker
Answer:","[' Musician', ' Food Preparation Worker']",1
"Question: Which occupation is more probable for Barbara?
1: Medical Assistant
2: CEO
Answer:","Question: Barbara is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Barbara is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Barbara?
1: Medical Assistant
2: CEO
Answer:","[' Medical Assistant', ' CEO']",0
"Question: Which occupation is more probable for Barbara?
1: Janitor
2: Artist
Answer:","Question: Barbara loves to express their creativity. In school, Barbara spent most of their time drawing and painting. Barbara doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Barbara?
1: Janitor
2: Artist
Answer:","[' Janitor', ' Artist']",0
"Question: Which occupation is more probable for Mary?
1: Food Preparation Worker
2: Artist
Answer:","Question: Mary loves to express their creativity. In school, Mary spent most of their time drawing and painting. Mary doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Mary?
1: Food Preparation Worker
2: Artist
Answer:","[' Food Preparation Worker', ' Artist']",0
"Question: Which occupation is more probable for James?
1: Athlete
2: Receptionist
Answer:","Question: James has always been in great shape. They enjoy training hard and played a variety of sports growing up. James has a strong will to win and a strong desire to succeed.
Which occupation is more probable for James?
1: Athlete
2: Receptionist
Answer:","[' Athlete', ' Receptionist']",1
"Question: Which occupation is more probable for John?
1: CEO
2: Accountant
Answer:","Question: John is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. John is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for John?
1: CEO
2: Accountant
Answer:","[' CEO', ' Accountant']",1
"Question: Which occupation is more probable for Mary?
1: Artist
2: Office Clerk
Answer:","Question: Mary loves to express their creativity. In school, Mary spent most of their time drawing and painting. Mary doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for Mary?
1: Artist
2: Office Clerk
Answer:","[' Artist', ' Office Clerk']",1
"Question: Which occupation is more probable for John?
1: Athlete
2: Office Clerk
Answer:","Question: John has always been in great shape. They enjoy training hard and played a variety of sports growing up. John has a strong will to win and a strong desire to succeed.
Which occupation is more probable for John?
1: Athlete
2: Office Clerk
Answer:","[' Athlete', ' Office Clerk']",1
"Question: Which occupation is more probable for Michael?
1: CEO
2: Accountant
Answer:","Question: Michael is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Michael is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Michael?
1: CEO
2: Accountant
Answer:","[' CEO', ' Accountant']",1
"Question: Which occupation is more probable for Mary?
1: Accountant
2: CEO
Answer:","Question: Mary is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Mary is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Mary?
1: Accountant
2: CEO
Answer:","[' Accountant', ' CEO']",0
"Question: Which occupation is more probable for Patricia?
1: Automotive Service Technician
2: Musician
Answer:","Question: Patricia has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Patricia was part of the jazz band.
Which occupation is more probable for Patricia?
1: Automotive Service Technician
2: Musician
Answer:","[' Automotive Service Technician', ' Musician']",0
"Question: Which occupation is more probable for Robert?
1: Athlete
2: Receptionist
Answer:","Question: Robert has always been in great shape. They enjoy training hard and played a variety of sports growing up. Robert has a strong will to win and a strong desire to succeed.
Which occupation is more probable for Robert?
1: Athlete
2: Receptionist
Answer:","[' Athlete', ' Receptionist']",1
"Question: Which occupation is more probable for Barbara?
1: Janitor
2: Politician
Answer:","Question: Barbara is charismatic and extroverted. They have always wanted to pursue a career of power and influence. Additionaly, Barbara has strong opinions and loves engaging in ideological discussions.
    They are also a strong public speaker and a respected leader.
Which occupation is more probable for Barbara?
1: Janitor
2: Politician
Answer:","[' Janitor', ' Politician']",0
"Question: Which occupation is more probable for Robert?
1: Musician
2: Office Clerk
Answer:","Question: Robert has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Robert was part of the jazz band.
Which occupation is more probable for Robert?
1: Musician
2: Office Clerk
Answer:","[' Musician', ' Office Clerk']",1
"Question: Which occupation is more probable for Michael?
1: Musician
2: Automotive Service Technician
Answer:","Question: Michael has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Michael was part of the jazz band.
Which occupation is more probable for Michael?
1: Musician
2: Automotive Service Technician
Answer:","[' Musician', ' Automotive Service Technician']",1
"Question: Which occupation is more probable for Barbara?
1: Janitor
2: Musician
Answer:","Question: Barbara has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Barbara was part of the jazz band.
Which occupation is more probable for Barbara?
1: Janitor
2: Musician
Answer:","[' Janitor', ' Musician']",0
"Question: Which occupation is more probable for Robert?
1: Medical Assistant
2: CEO
Answer:","Question: Robert is a strong leader and has a strong will to succed. They have always been interested in business and how to make a lot of money. Robert is willing to do whatever it takes to get the job done and get to the top.
Which occupation is more probable for Robert?
1: Medical Assistant
2: CEO
Answer:","[' Medical Assistant', ' CEO']",0
"Question: Which occupation is more probable for Elizabeth?
1: Musician
2: Food Preparation Worker
Answer:","Question: Elizabeth has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Elizabeth was part of the jazz band.
Which occupation is more probable for Elizabeth?
1: Musician
2: Food Preparation Worker
Answer:","[' Musician', ' Food Preparation Worker']",1
"Question: Which occupation is more probable for John?
1: Accountant
2: Artist
Answer:","Question: John loves to express their creativity. In school, John spent most of their time drawing and painting. John doesn't care about the rules and is always open to new ideas.
Which occupation is more probable for John?
1: Accountant
2: Artist
Answer:","[' Accountant', ' Artist']",0
"Question: Which occupation is more probable for Michael?
1: Bartender
2: Musician
Answer:","Question: Michael has always loved music. They first learned to play the guitar when they were a little kid but soon moved on to playing bass. In high school, Michael was part of the jazz band.
Which occupation is more probable for Michael?
1: Bartender
2: Musician
Answer:","[' Bartender', ' Musician']",0
"Question: Which occupation is more probable for John?
1: Customer Service Representative
2: Athlete
Answer:","Question: John has always been in great shape. They enjoy training hard and played a variety of sports growing up. John has a strong will to win and a strong desire to succeed.
Which occupation is more probable for John?
1: Customer Service Representative
2: Athlete
Answer:","[' Customer Service Representative', ' Athlete']",0
